year_month,avg_percentage,total_exams,passed,pass_rate
17-12,52.0,4,4,100.0
18-03,64.66666666666667,3,3,100.0
18-07,52.0,12,12,100.0
18-12,47.81818181818182,22,22,100.0
19-03,50.77777777777778,9,9,100.0
19-07,52.38461538461539,26,26,100.0
19-12,48.625,32,32,100.0
20-03,45.90909090909091,11,11,100.0
20-12,45.83783783783784,37,37,100.0
21-03,52.69230769230769,13,10,76.92
21-07,54.516129032258064,31,27,87.1
21-12,51.85294117647059,34,33,97.06
22-03,52.125,8,8,100.0
22-07,43.5,18,18,100.0
22-12,51.44444444444444,18,18,100.0
23-03,38.5,6,6,100.0
23-08,46.92857142857143,14,14,100.0
24-01,54.0,22,21,95.45
24-03,50.0,7,7,100.0
24-08,40.833333333333336,24,23,95.83
25-01,42.07692307692308,13,13,100.0
25-04,43.733333333333334,15,15,100.0
